RecordedDate,Sicherheit,Item,value,response,ID
2022-11-02T19:52:44Z,S,10,Neutral,0,q4K0Iyn6Yp
2022-11-02T19:52:44Z,S,11,Sehr emotional,2,q4K0Iyn6Yp
2022-11-02T19:52:44Z,S,12,Eher emotional,1,q4K0Iyn6Yp
2022-11-02T20:13:43Z,S,1,Eher emotional,1,o2Rbl8zBeN
2022-11-02T20:13:43Z,S,2,Eher emotional,1,o2Rbl8zBeN
2022-11-02T20:13:43Z,S,3,Eher emotional,1,o2Rbl8zBeN
2022-11-02T20:13:43Z,S,4,Eher emotional,1,o2Rbl8zBeN
2022-11-02T20:13:43Z,S,5,Nicht emotional,-2,o2Rbl8zBeN
2022-11-02T20:13:43Z,S,6,Sehr emotional,2,o2Rbl8zBeN
2022-11-02T20:13:43Z,S,7,Sehr emotional,2,o2Rbl8zBeN
2022-11-02T20:13:43Z,S,8,Neutral,0,o2Rbl8zBeN
2022-11-02T20:13:43Z,S,9,Nicht emotional,-2,o2Rbl8zBeN
2022-11-02T20:13:43Z,S,10,Neutral,0,o2Rbl8zBeN
2022-11-02T20:13:43Z,S,11,Eher emotional,1,o2Rbl8zBeN
2022-11-02T20:13:43Z,S,12,Eher nicht emotional,-1,o2Rbl8zBeN
2022-11-02T21:04:15Z,S,1,Neutral,0,4m2vq9cyfN
2022-11-02T21:04:15Z,S,2,Eher emotional,1,4m2vq9cyfN
2022-11-02T21:04:15Z,S,3,Neutral,0,4m2vq9cyfN
2022-11-02T21:04:15Z,S,4,Neutral,0,4m2vq9cyfN
2022-11-02T21:04:15Z,S,5,Eher emotional,1,4m2vq9cyfN
2022-11-02T21:04:15Z,S,6,Eher emotional,1,4m2vq9cyfN
2022-11-02T21:04:15Z,S,7,Eher emotional,1,4m2vq9cyfN
2022-11-02T21:04:15Z,S,8,Eher emotional,1,4m2vq9cyfN
2022-11-02T21:04:15Z,S,9,Eher emotional,1,4m2vq9cyfN
2022-11-02T21:04:15Z,S,10,Eher emotional,1,4m2vq9cyfN
2022-11-02T21:04:15Z,S,11,Sehr emotional,2,4m2vq9cyfN
2022-11-02T21:04:15Z,S,12,Eher emotional,1,4m2vq9cyfN
